     Node ID      R Coord      T Coord      Z Coord            R            T            Z    Magnitude
       10650   4.0779e+02   0.0000e+00  -5.0000e+00   5.3261e+05   0.0000e+00   0.0000e+00   5.3261e+05
       10651   4.0779e+02   0.0000e+00  -1.0000e+01   4.6979e+05   0.0000e+00   0.0000e+00   4.6979e+05
       10652   4.0779e+02   0.0000e+00  -1.5000e+01   4.5863e+05   0.0000e+00   0.0000e+00   4.5863e+05
       10653   4.0779e+02   0.0000e+00  -2.0000e+01   4.5639e+05   0.0000e+00   0.0000e+00   4.5639e+05
       10654   4.0779e+02   0.0000e+00  -2.5000e+01   4.5748e+05   0.0000e+00   0.0000e+00   4.5748e+05
       10655   4.0779e+02   0.0000e+00  -3.0000e+01   4.5997e+05   0.0000e+00   0.0000e+00   4.5997e+05
       10656   4.0779e+02   0.0000e+00  -3.5000e+01   4.6310e+05   0.0000e+00   0.0000e+00   4.6310e+05
       10657   4.0779e+02   0.0000e+00  -4.0000e+01   4.6650e+05   0.0000e+00   0.0000e+00   4.6650e+05
       10658   4.0779e+02   0.0000e+00  -4.5000e+01   4.6994e+05   0.0000e+00   0.0000e+00   4.6994e+05
       10659   4.0779e+02   0.0000e+00  -5.0000e+01   4.7328e+05   0.0000e+00   0.0000e+00   4.7328e+05
       10660   4.0779e+02   0.0000e+00  -5.5000e+01   4.7645e+05   0.0000e+00   0.0000e+00   4.7645e+05
       10661   4.0779e+02   0.0000e+00  -6.0000e+01   4.7940e+05   0.0000e+00   0.0000e+00   4.7940e+05
       10662   4.0779e+02   0.0000e+00  -6.5000e+01   4.8210e+05   0.0000e+00   0.0000e+00   4.8210e+05
       10663   4.0779e+02   0.0000e+00  -7.0000e+01   4.8455e+05   0.0000e+00   0.0000e+00   4.8455e+05
       10664   4.0779e+02   0.0000e+00  -7.5000e+01   4.8674e+05   0.0000e+00   0.0000e+00   4.8674e+05
       10665   4.0779e+02   0.0000e+00  -8.0000e+01   4.8868e+05   0.0000e+00   0.0000e+00   4.8868e+05
       10666   4.0779e+02   0.0000e+00  -8.5000e+01   4.9039e+05   0.0000e+00   0.0000e+00   4.9039e+05
       10667   4.0779e+02   0.0000e+00  -9.0000e+01   4.9188e+05   0.0000e+00   0.0000e+00   4.9188e+05
       10668   4.0779e+02   0.0000e+00  -9.5000e+01   4.9316e+05   0.0000e+00   0.0000e+00   4.9316e+05
       10669   4.0779e+02   0.0000e+00  -1.0000e+02   4.9426e+05   0.0000e+00   0.0000e+00   4.9426e+05
       10670   4.0779e+02   0.0000e+00  -1.0500e+02   4.9519e+05   0.0000e+00   0.0000e+00   4.9519e+05
       10671   4.0779e+02   0.0000e+00  -1.1000e+02   4.9597e+05   0.0000e+00   0.0000e+00   4.9597e+05
       10672   4.0779e+02   0.0000e+00  -1.1500e+02   4.9662e+05   0.0000e+00   0.0000e+00   4.9662e+05
       10673   4.0779e+02   0.0000e+00  -1.2000e+02   4.9715e+05   0.0000e+00   0.0000e+00   4.9715e+05
       10674   4.0779e+02   0.0000e+00  -1.2500e+02   4.9759e+05   0.0000e+00   0.0000e+00   4.9759e+05
       10675   4.0779e+02   0.0000e+00  -1.3000e+02   4.9793e+05   0.0000e+00   0.0000e+00   4.9793e+05
       10676   4.0779e+02   0.0000e+00  -1.3500e+02   4.9821e+05   0.0000e+00   0.0000e+00   4.9821e+05
       10677   4.0779e+02   0.0000e+00  -1.4000e+02   4.9842e+05   0.0000e+00   0.0000e+00   4.9842e+05
       10678   4.0779e+02   0.0000e+00  -1.4500e+02   4.9858e+05   0.0000e+00   0.0000e+00   4.9858e+05
       10679   4.0779e+02   0.0000e+00  -1.5000e+02   4.9869e+05   0.0000e+00   0.0000e+00   4.9869e+05
       10680   4.0779e+02   0.0000e+00  -1.5500e+02   4.9877e+05   0.0000e+00   0.0000e+00   4.9877e+05
       10681   4.0779e+02   0.0000e+00  -1.6000e+02   4.9881e+05   0.0000e+00   0.0000e+00   4.9881e+05
       10682   4.0779e+02   0.0000e+00  -1.6500e+02   4.9884e+05   0.0000e+00   0.0000e+00   4.9884e+05
       10683   4.0779e+02   0.0000e+00  -1.7000e+02   4.9884e+05   0.0000e+00   0.0000e+00   4.9884e+05
       10684   4.0779e+02   0.0000e+00  -1.7500e+02   4.9884e+05   0.0000e+00   0.0000e+00   4.9884e+05
       10685   4.0779e+02   0.0000e+00  -1.8000e+02   4.9882e+05   0.0000e+00   0.0000e+00   4.9882e+05
       10686   4.0779e+02   0.0000e+00  -1.8500e+02   4.9879e+05   0.0000e+00   0.0000e+00   4.9879e+05
       10687   4.0779e+02   0.0000e+00  -1.9000e+02   4.9875e+05   0.0000e+00   0.0000e+00   4.9875e+05
       10688   4.0779e+02   0.0000e+00  -1.9500e+02   4.9872e+05   0.0000e+00   0.0000e+00   4.9872e+05
       10689   4.0779e+02   0.0000e+00  -2.0000e+02   4.9868e+05   0.0000e+00   0.0000e+00   4.9868e+05
       10690   4.0779e+02   0.0000e+00  -2.0500e+02   4.9864e+05   0.0000e+00   0.0000e+00   4.9864e+05
       10691   4.0779e+02   0.0000e+00  -2.1000e+02   4.9860e+05   0.0000e+00   0.0000e+00   4.9860e+05
       10692   4.0779e+02   0.0000e+00  -2.1500e+02   4.9856e+05   0.0000e+00   0.0000e+00   4.9856e+05
       10693   4.0779e+02   0.0000e+00  -2.2000e+02   4.9853e+05   0.0000e+00   0.0000e+00   4.9853e+05
       10694   4.0779e+02   0.0000e+00  -2.2500e+02   4.9849e+05   0.0000e+00   0.0000e+00   4.9849e+05
       10695   4.0779e+02   0.0000e+00  -2.3000e+02   4.9846e+05   0.0000e+00   0.0000e+00   4.9846e+05
       10696   4.0779e+02   0.0000e+00  -2.3500e+02   4.9843e+05   0.0000e+00   0.0000e+00   4.9843e+05
       10697   4.0779e+02   0.0000e+00  -2.4000e+02   4.9841e+05   0.0000e+00   0.0000e+00   4.9841e+05
       10698   4.0779e+02   0.0000e+00  -2.4500e+02   4.9838e+05   0.0000e+00   0.0000e+00   4.9838e+05
       10699   4.0779e+02   0.0000e+00  -2.5000e+02   4.9836e+05   0.0000e+00   0.0000e+00   4.9836e+05
       10700   4.0779e+02   0.0000e+00  -2.5500e+02   4.9834e+05   0.0000e+00   0.0000e+00   4.9834e+05
       10701   4.0779e+02   0.0000e+00  -2.6000e+02   4.9833e+05   0.0000e+00   0.0000e+00   4.9833e+05
       10702   4.0779e+02   0.0000e+00  -2.6500e+02   4.9831e+05   0.0000e+00   0.0000e+00   4.9831e+05
       10703   4.0779e+02   0.0000e+00  -2.7000e+02   4.9830e+05   0.0000e+00   0.0000e+00   4.9830e+05
       10704   4.0779e+02   0.0000e+00  -2.7500e+02   4.9830e+05   0.0000e+00   0.0000e+00   4.9830e+05
       10705   4.0779e+02   0.0000e+00  -2.8000e+02   4.9829e+05   0.0000e+00   0.0000e+00   4.9829e+05
       10706   4.0779e+02   0.0000e+00  -2.8500e+02   4.9828e+05   0.0000e+00   0.0000e+00   4.9828e+05
       10707   4.0779e+02   0.0000e+00  -2.9000e+02   4.9828e+05   0.0000e+00   0.0000e+00   4.9828e+05
       10708   4.0779e+02   0.0000e+00  -2.9500e+02   4.9828e+05   0.0000e+00   0.0000e+00   4.9828e+05
       10709   4.0779e+02   0.0000e+00  -3.0000e+02   4.9828e+05   0.0000e+00   0.0000e+00   4.9828e+05
       10710   4.0779e+02   0.0000e+00  -3.0500e+02   4.9828e+05   0.0000e+00   0.0000e+00   4.9828e+05
       10711   4.0779e+02   0.0000e+00  -3.1000e+02   4.9828e+05   0.0000e+00   0.0000e+00   4.9828e+05
       10712   4.0779e+02   0.0000e+00  -3.1500e+02   4.9828e+05   0.0000e+00   0.0000e+00   4.9828e+05
       10713   4.0779e+02   0.0000e+00  -3.2000e+02   4.9828e+05   0.0000e+00   0.0000e+00   4.9828e+05
       10714   4.0779e+02   0.0000e+00  -3.2500e+02   4.9829e+05   0.0000e+00   0.0000e+00   4.9829e+05
       10715   4.0779e+02   0.0000e+00  -3.3000e+02   4.9829e+05   0.0000e+00   0.0000e+00   4.9829e+05
       10716   4.0779e+02   0.0000e+00  -3.3500e+02   4.9830e+05   0.0000e+00   0.0000e+00   4.9830e+05
       10717   4.0779e+02   0.0000e+00  -3.4000e+02   4.9830e+05   0.0000e+00   0.0000e+00   4.9830e+05
       10718   4.0779e+02   0.0000e+00  -3.4500e+02   4.9831e+05   0.0000e+00   0.0000e+00   4.9831e+05
       10719   4.0779e+02   0.0000e+00  -3.5000e+02   4.9831e+05   0.0000e+00   0.0000e+00   4.9831e+05
       10720   4.0779e+02   0.0000e+00  -3.5500e+02   4.9832e+05   0.0000e+00   0.0000e+00   4.9832e+05
       10721   4.0779e+02   0.0000e+00  -3.6000e+02   4.9833e+05   0.0000e+00   0.0000e+00   4.9833e+05
       10722   4.0779e+02   0.0000e+00  -3.6500e+02   4.9833e+05   0.0000e+00   0.0000e+00   4.9833e+05
       10723   4.0779e+02   0.0000e+00  -3.7000e+02   4.9834e+05   0.0000e+00   0.0000e+00   4.9834e+05
       10724   4.0779e+02   0.0000e+00  -3.7500e+02   4.9834e+05   0.0000e+00   0.0000e+00   4.9834e+05
       10725   4.0779e+02   0.0000e+00  -3.8000e+02   4.9835e+05   0.0000e+00   0.0000e+00   4.9835e+05
       10726   4.0779e+02   0.0000e+00  -3.8500e+02   4.9836e+05   0.0000e+00   0.0000e+00   4.9836e+05
       10727   4.0779e+02   0.0000e+00  -3.9000e+02   4.9836e+05   0.0000e+00   0.0000e+00   4.9836e+05
       10728   4.0779e+02   0.0000e+00  -3.9500e+02   4.9837e+05   0.0000e+00   0.0000e+00   4.9837e+05
       10729   4.0779e+02   0.0000e+00  -4.0000e+02   4.9838e+05   0.0000e+00   0.0000e+00   4.9838e+05
       10730   4.0779e+02   0.0000e+00  -4.0500e+02   4.9838e+05   0.0000e+00   0.0000e+00   4.9838e+05
       10731   4.0779e+02   0.0000e+00  -4.1000e+02   4.9839e+05   0.0000e+00   0.0000e+00   4.9839e+05
       10732   4.0779e+02   0.0000e+00  -4.1500e+02   4.9839e+05   0.0000e+00   0.0000e+00   4.9839e+05
       10733   4.0779e+02   0.0000e+00  -4.2000e+02   4.9840e+05   0.0000e+00   0.0000e+00   4.9840e+05
       10734   4.0779e+02   0.0000e+00  -4.2500e+02   4.9840e+05   0.0000e+00   0.0000e+00   4.9840e+05
       10735   4.0779e+02   0.0000e+00  -4.3000e+02   4.9841e+05   0.0000e+00   0.0000e+00   4.9841e+05
       10736   4.0779e+02   0.0000e+00  -4.3500e+02   4.9842e+05   0.0000e+00   0.0000e+00   4.9842e+05
       10737   4.0779e+02   0.0000e+00  -4.4000e+02   4.9842e+05   0.0000e+00   0.0000e+00   4.9842e+05
       10738   4.0779e+02   0.0000e+00  -4.4500e+02   4.9843e+05   0.0000e+00   0.0000e+00   4.9843e+05
       10739   4.0779e+02   0.0000e+00  -4.5000e+02   4.9843e+05   0.0000e+00   0.0000e+00   4.9843e+05
       10740   4.0779e+02   0.0000e+00  -4.5500e+02   4.9844e+05   0.0000e+00   0.0000e+00   4.9844e+05
       10741   4.0779e+02   0.0000e+00  -4.6000e+02   4.9844e+05   0.0000e+00   0.0000e+00   4.9844e+05
       10742   4.0779e+02   0.0000e+00  -4.6500e+02   4.9844e+05   0.0000e+00   0.0000e+00   4.9844e+05
       10743   4.0779e+02   0.0000e+00  -4.7000e+02   4.9845e+05   0.0000e+00   0.0000e+00   4.9845e+05
       10744   4.0779e+02   0.0000e+00  -4.7500e+02   4.9845e+05   0.0000e+00   0.0000e+00   4.9845e+05
       10745   4.0779e+02   0.0000e+00  -4.8000e+02   4.9846e+05   0.0000e+00   0.0000e+00   4.9846e+05
       10746   4.0779e+02   0.0000e+00  -4.8500e+02   4.9846e+05   0.0000e+00   0.0000e+00   4.9846e+05
       10747   4.0779e+02   0.0000e+00  -4.9000e+02   4.9847e+05   0.0000e+00   0.0000e+00   4.9847e+05
       10748   4.0779e+02   0.0000e+00  -4.9500e+02   4.9847e+05   0.0000e+00   0.0000e+00   4.9847e+05
       10749   4.0779e+02   0.0000e+00  -5.0000e+02   4.9847e+05   0.0000e+00   0.0000e+00   4.9847e+05
