     Elem ID      Node ID      R Coord      T Coord      Z Coord           RR           TT           ZZ           RT           TZ           ZR    Von-Mises
         879          991   3.7207e+02   0.0000e+00  -5.0000e+02  -5.5173e+01   1.1950e+02   1.1684e+02   0.0000e+00   0.0000e+00  -5.9239e-03   1.7336e+02
         981          991   0.0000e+00   0.0000e+00   0.0000e+00  -5.1829e+01   1.2094e+02   1.1828e+02   0.0000e+00   0.0000e+00  -3.5416e-02   1.7145e+02
         981         1095   3.7927e+02   0.0000e+00  -5.0000e+02  -5.1829e+01   1.1627e+02   1.1688e+02   0.0000e+00   0.0000e+00  -3.5398e-02   1.6840e+02
         982          991   0.0000e+00   0.0000e+00   0.0000e+00  -5.1830e+01   1.2094e+02   1.1828e+02   0.0000e+00   0.0000e+00  -4.5592e-03   1.7145e+02
         982         1095   3.7927e+02   0.0000e+00  -5.0000e+02  -5.1830e+01   1.1627e+02   1.1688e+02   0.0000e+00   0.0000e+00  -4.5688e-03   1.6840e+02
        1084         1095   0.0000e+00   0.0000e+00   0.0000e+00  -4.8671e+01   1.1762e+02   1.1824e+02   0.0000e+00   0.0000e+00  -2.9025e-02   1.6660e+02
        1084         1199   3.8648e+02   0.0000e+00  -5.0000e+02  -4.8671e+01   1.1321e+02   1.1691e+02   0.0000e+00   0.0000e+00  -2.9046e-02   1.6376e+02
        1085         1095   0.0000e+00   0.0000e+00   0.0000e+00  -4.8673e+01   1.1762e+02   1.1823e+02   0.0000e+00   0.0000e+00  -3.0214e-03   1.6660e+02
        1085         1199   3.8648e+02   0.0000e+00  -5.0000e+02  -4.8673e+01   1.1321e+02   1.1690e+02   0.0000e+00   0.0000e+00  -2.9946e-03   1.6376e+02
        1187         1199   0.0000e+00   0.0000e+00   0.0000e+00  -4.5684e+01   1.1449e+02   1.1819e+02   0.0000e+00   0.0000e+00  -2.1464e-02   1.6205e+02
        1187         1303   3.9369e+02   0.0000e+00  -5.0000e+02  -4.5684e+01   1.1031e+02   1.1692e+02   0.0000e+00   0.0000e+00  -2.1532e-02   1.5940e+02
        1188         1199   0.0000e+00   0.0000e+00   0.0000e+00  -4.5687e+01   1.1449e+02   1.1818e+02   0.0000e+00   0.0000e+00  -1.5248e-03   1.6205e+02
        1188         1303   3.9369e+02   0.0000e+00  -5.0000e+02  -4.5687e+01   1.1031e+02   1.1692e+02   0.0000e+00   0.0000e+00  -1.4536e-03   1.5940e+02
        1290         1303   0.0000e+00   0.0000e+00   0.0000e+00  -4.2854e+01   1.1153e+02   1.1813e+02   0.0000e+00   0.0000e+00  -1.3081e-02   1.5779e+02
        1290         1407   4.0089e+02   0.0000e+00  -5.0000e+02  -4.2854e+01   1.0757e+02   1.1692e+02   0.0000e+00   0.0000e+00  -1.3203e-02   1.5531e+02
        1291         1303         -nan         -nan         -nan  -4.2857e+01   1.1152e+02   1.1813e+02   0.0000e+00   0.0000e+00  -3.8072e-04   1.5779e+02
        1291         1407   4.0089e+02   0.0000e+00  -5.0000e+02  -4.2857e+01   1.0757e+02   1.1692e+02   0.0000e+00   0.0000e+00  -2.5811e-04   1.5531e+02
        1408         1407   0.0000e+00   0.0000e+00   0.0000e+00  -4.0169e+01   1.0872e+02   1.1807e+02   0.0000e+00   0.0000e+00  -4.2839e-03   1.5378e+02
        1408         5447   4.0810e+02   0.0000e+00  -5.0000e+02  -4.0169e+01   1.0496e+02   1.1691e+02   0.0000e+00   0.0000e+00  -4.4673e-03   1.5146e+02
        1409         1407   0.0000e+00   0.0000e+00   0.0000e+00  -4.0172e+01   1.0872e+02   1.1807e+02   0.0000e+00   0.0000e+00   4.1804e-05   1.5378e+02
        1409         5447   4.0810e+02   0.0000e+00  -5.0000e+02  -4.0172e+01   1.0496e+02   1.1690e+02   0.0000e+00   0.0000e+00   2.2242e-04   1.5146e+02
